"","MG_A0","MG_A1","MG_A2","MG_A3","MG_B0","MG_B1","MG_B2","MG_B3","MG_C0","MG_C1","MG_C2","MG_C3","MG_Ct_qPCR_pos_zymo","MG_E0","MG_E1","MG_E2","MG_E3","MG_F0","MG_F1","MG_F2","MG_F3","MG_G0","MG_G1","MG_G2","MG_G3","MG_I0","MG_I1","MG_I2","MG_I3","MG_J0","MG_J1","MG_J2","MG_J3","MG_K0","MG_K1","MG_K2","MG_K3","MG_L0","MG_L1","MG_L2","MG_L3","MG_M0","MG_M1","MG_M2","MG_M3","MG_N0","MG_N1","MG_N2","MG_N3","MG_O0","MG_O1","MG_O2","MG_O3","MG_P0","MG_P1","MG_P2","MG_P3","MG_Q0","MG_Q1","MG_Q2","MG_Q3","MG_R0","MG_R1","MG_R2","MG_R3","MG_S0","MG_S1","MG_S2","MG_S3","MG_T0","MG_T1","MG_T2","MG_T3"
"Blastocatellaceae",0,0,0,0,0,0,0,0,0,0.00683717396809319,0,0.00587371512481645,0,0,0,0,0,0,0.0118003025718608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00563847429519071,0,0,0,0.00711845102505695,0,0,0,0,0,0,0,0,0,0,0,0,0.00191226096737908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00487012987012987,0,0,0.00217606330365974
"Blattabacteriaceae",0,0,0,0,0,0,0,0,0,0,0.00205942924389526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00116086235489221,0,0,0,0,0,0,0.00992555831265509,0.309360730593607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bogoriellaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000914285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brevibacillaceae",0,0,0.00673148840688108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brevibacteriaceae",0.00135096014667567,0,0,0,0.0016366612111293,0,0,0,0.0170142700329308,0,0,0.00513950073421439,0,0,0,0,0,0.0153512172429834,0,0,0.0504494056248188,0,0,0,0,0.109942857142857,0.0226194819408975,0,0.0166062801932367,0.0683340166735001,0,0.0128887070376432,0,0,0,0,0,0.00775193798449612,0.0215767634854772,0,0,0,0,0,0,0.0056777856635912,0,0,0,0.00199401794616152,0.000904704463208685,0.00381000762001524,0,0,0,0,0,0.0404761904761905,0,0,0.00329644454909348,0,0,0,0,0,0,0,0,0,0,0,0
"Bryobacteraceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00422403003754693,0,0.00226928895612708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00530679933665008,0,0,0,0,0,0.0012163600425726,0,0.00799086757990868,0,0,0,0,0,0,0,0.00431800863601727,0.00348706411698538,0,0,0,0,0,0,0.0426150121065375,0,0,0,0,0,0,0,0,0,0,0,0,0.00118694362017804
"Burkholderiaceae",0,0.0131324835843955,0.0119670905011219,0,0.00453229258466574,0.00987951807228916,0.00331743727970143,0.000118849536486808,0,0.0293745251962522,0,0.00403817914831131,0,0.0214125918823905,0.0130201684962982,0.00239592692422881,0.0129849812265332,0.0164366568460226,0,0.0187304890738814,0.0191359814438968,0.00143897832538897,0.00809989875126561,0,0,0.0114285714285714,0.0302809193724918,0,0.00845410628019324,0,0.0128893662728249,0.00716039279869067,0.00263504611330698,0.00776218001651528,0.0375868603916614,0,0.00984780662488809,0.0136131593874078,0,0.00398633257403189,0.00875420875420875,0.00653793522882773,0.0148883374689826,0,0.026655560183257,0.0124911284599006,0.0328638497652582,0,0,0.0102193419740778,0.00542822677925211,0,0.00686164229471316,0.00782705926202013,0.0245757753071972,0.00924295774647887,0,0,0,0,0,0,0,0,0.031866464339909,0.364328136599852,0.0505561172901921,0.00581395348837209,0.0242703533026114,0.00649350649350649,0.0107449856733524,0,0.00652818991097923
"Caldilineaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0033167495854063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00405844155844156,0,0,0
"Caloramatoraceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0111580217129071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Carnobacteriaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0397022332506203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Caulobacteraceae",0.0149570587667664,0,0,0,0,0.028433734939759,0,0,0,0.0192453785768549,0,0,0,0.018429743261958,0,0.0152740341419587,0,0,0,0.0117932708983698,0,0,0.0195747553155586,0,0.0385196374622356,0.0201142857142857,0,0.012881064834693,0,0,0.0118152524167562,0.00552373158756138,0,0,0.00631711939355654,0.00862354892205638,0.0174574753804834,0,0,0,0.0114478114478114,0.0313212710962445,0,0.00627853881278539,0,0,0,0,0.0118081180811808,0,0.005729794933655,0,0,0,0.0157987126974839,0,0,0,0.0308483290488432,0.0116222760290557,0.00753473039792795,0,0,0,0,0,0,0.0255813953488372,0,0,0,0.0642487046632124,0
"Cellulomonadaceae",0.00154395445334363,0.0162224797219003,0,0,0,0,0,0,0,0.014940491263611,0,0.00385462555066079,0,0.0030893789283051,0.0165943323972428,0,0.0172090112640801,0,0.00499243570347958,0,0,0,0,0,0,0,0.0120394016782196,0.00708458565908115,0.00815217391304348,0,0,0.0085924713584288,0,0,0.0157927984838913,0,0,0.00283607487237663,0,0,0,0,0,0.00228310502283105,0.00749687630154102,0.00170333569907736,0,0,0,0,0.0428226779252111,0,0.00224971878515186,0,0,0,0,0,0,0,0,0,0.0145985401459854,0,0,0,0,0,0,0,0,0,0.00415430267062315
"Cellvibrionaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0194242108914325,0,0,0,0,0,0,0,0,0,0,0,0.00552373158756138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chitinimonadaceae",0.00279841744668532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chitinivibrionaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00716332378223496,0,0
"Chitinophagaceae",0.0302036089935347,0.0177674777906528,0,0.0245030050855294,0.00302152838977716,0.0240963855421687,0.0184532448683392,0.00118849536486808,0,0.0402633578121043,0.0111797587525743,0,0.00134783864445942,0.012464046021093,0.0227214705131478,0.00509134471398622,0.00297246558197747,0.00108543960303923,0.0485627836611195,0.00346860908775581,0.0188460423311105,0.000809425308031298,0.00708741140735741,0,0.0219033232628399,0.0064,0.032105071141919,0.0480893087161872,0.00392512077294686,0.015716823834905,0,0.0284369885433715,0.0338164251207729,0.000990916597853014,0.0224257738471257,0.00232172470978441,0,0.0121005861221403,0.0186721991701245,0.0148063781321185,0.028956228956229,0.0018245400638589,0.00496277915632754,0,0.00249895876718034,0.00156139105748758,0.0311871227364185,0,0.0033210332103321,0.00124626121635095,0,0.00431800863601727,0.00281214848143982,0.00298173686172195,0.013458162668227,0.0303697183098592,0.0241448692152917,0.0166666666666667,0,0.00920096852300242,0.00353190487402873,0,0,0.0121212121212121,0,0,0,0,0,0,0,0,0.00138476755687438
"Chlorobiaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0144927536231884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chloroflexaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000930376802605055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00456135015964726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Christensenellaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0037821482602118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00186358553857622,0,0,0,0,0,0,0.00141276194961149,0,0,0,0,0,0,0,0,0,0,0,0
"Chromobacteriaceae",0,0.00347624565469293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chroococcidiopsaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00470540098199673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00338983050847458,0,0,0,0,0,0,0.0293225480283114,0,0,0,0,0,0
"Chthoniobacteraceae",0,0,0,0,0,0.00481927710843374,0,0,0,0.00886300329197265,0,0.00624082232011747,0,0,0.0053612458514169,0,0,0,0.00771558245083207,0,0.0104378080603073,0,0.0124873439082011,0,0,0.00365714285714286,0,0,0,0,0,0,0,0,0.0230574857864814,0.0227197346600332,0,0,0,0,0,0,0,0,0,0,0.0134138162307176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0546006066734075,0,0,0,0,0,0
"Clade_III",0,0.0142912321359598,0.00074794315632012,0,0,0,0,0,0.0021953896816685,0,0,0,0.000385096755559834,0,0.00102118968598417,0,0,0,0,0,0,0,0.010124873439082,0,0,0,0,0,0,0,0,0.0155482815057283,0,0,0,0,0.0111906893464637,0,0,0,0,0,0,0,0,0,0.00402414486921529,0,0,0,0,0.00101600203200406,0,0,0,0,0,0.0396825396825397,0,0,0,0,0,0,0,0,0,0,0,0,0.0100286532951289,0.00621761658031088,0
"Clostridiaceae",0,0,0.0119670905011219,0,0,0,0.0211486626580966,0,0,0.0116485186123069,0,0,0,0,0.0209343885626755,0,0.0100125156445557,0,0,0.0180367672563302,0,0,0.016537293283834,0,0,0.0118857142857143,0.0167821962787304,0,0.00754830917874396,0.00136668033347,0,0.00879705400981997,0,0,0,0.00597014925373134,0,0.0058612214029117,0.0336099585062241,0,0,0.000456135015964726,0,0,0,0.00340667139815472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0485584218512898,0,0,0.0441860465116279,0.00645161290322581,0,0,0,0.00178041543026706
"Colwelliaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00284270372710044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Comamonadaceae",0.0149570587667664,0.0274237157203553,0,0,0.0313483570439381,0.0390361445783133,0.0201119635081899,0,0,0.0741959989870853,0.0314798470138276,0.0110132158590308,0,0,0,0,0,0,0.0119515885022693,0.0509885535900104,0,0.0168180591779836,0.0688491393857577,0,0.0392749244712991,0,0.0547245530828165,0.01524259338772,0.0217391304347826,0,0.0628356605800215,0.0319148936170213,0.0654369784804567,0,0.0574857864813645,0,0,0,0.0253112033195021,0.0310364464692483,0.0821548821548822,0.0177892656226243,0,0.0345319634703196,0,0,0.028504359490275,0.036979969183359,0,0,0.0744873341375151,0,0,0,0.0918665886483324,0,0.0558350100603622,0,0,0.0217917675544794,0,0,0,0,0.0546282245827011,0,0.0687563195146613,0.0186046511627907,0,0.0308441558441558,0,0,0
"Coriobacteriaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00368248772504092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Corynebacteriaceae",0,0.0131324835843955,0,0,0,0,0.012233049968899,0,0,0,0,0,0,0,0,0.0296495956873315,0,0,0,0.0450919181408255,0.0365323282110757,0,0.0121498481268984,0,0,0.00937142857142857,0,0.0122370115929584,0,0,0,0,0.0355731225296443,0,0,0,0.0134288272157565,0,0.0390041493775934,0.0193621867881549,0,0,0.0186104218362283,0.0171232876712329,0,0,0.0194500335345406,0.063944530046225,0.0605166051660517,0,0.0205066344993969,0,0,0,0.0450555880631949,0.0356514084507042,0,0.053968253968254,0.0668380462724936,0.0372881355932203,0,0,0,0.0656565656565657,0.0242792109256449,0,0.111223458038423,0,0,0,0.086676217765043,0,0
"CPla-3_termite_group",0.00028949146000193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00283607487237663,0,0.00626423690205011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Criblamydiaceae",0,0,0,0,0,0.0036144578313253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Crocinitomicaceae",0,0.0139049826187717,0,0,0,0,0,0,0,0.0303874398581919,0.0335392762577229,0,0,0,0.0349757467449579,0,0.00610137672090113,0,0.0086232980332829,0.0232396808879639,0,0,0,0.015719899964273,0,0,0.0561838744983583,0.0229712322885359,0.0072463768115942,0,0.023093447905478,0,0.031181379007466,0,0.0170562223626027,0,0.0295434198746643,0,0.0307053941908714,0.0116742596810934,0,0,0,0,0,0,0.0355466130114017,0,0,0,0,0,0,0.00670890793887439,0,0,0.0176056338028169,0.00952380952380952,0,0,0,0,0,0,0,0,0,0.0941860465116279,0,0,0.00859598853868195,0,0
"Cryomorphaceae",0,0.00965623792970259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00257186081694402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cryptosporangiaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00440930515432568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyanobiaceae",0,0.02240247199691,0.0271752680129643,0.0134073046694406,0,0.015421686746988,0.0105743313290483,0,0,0.0676120536844771,0.0788467196234186,0.0297356828193833,0,0,0.0423793719683431,0.0479185384845762,0.0193992490613267,0,0.0136157337367625,0.0221990981616372,0.0324731806320673,0,0.0371245359433007,0.0918185066095034,0,0,0.0510762495439621,0.0242593387720052,0.0169082125603865,0,0.0359828141783029,0.0153436988543372,0.031181379007466,0,0.0157927984838913,0.0111111111111111,0.013876454789615,0,0.0460580912863071,0,0,0,0,0,0,0,0.0375586854460094,0,0.0431734317343173,0,0,0,0,0,0,0,0,0.0476190476190476,0.0552699228791774,0,0,0,0.048661800486618,0,0.0971168437025797,0,0.0394337714863498,0.0569767441860465,0,0,0,0,0
"Cyclobacteriaceae",0,0,0.0129643480428821,0,0,0.00771084337349398,0.012233049968899,0,0.00658616904500549,0.0141808052671562,0.0394233598117093,0.00293685756240822,0,0,0,0,0.00766583229036295,0,0,0,0,0,0,0,0,0.00411428571428571,0.00364830353885443,0.0090167453842851,0.0072463768115942,0,0.0075187969924812,0.00511456628477905,0,0,0,0.00895522388059702,0.0035810205908684,0,0,0.00313211845102506,0.00471380471380471,0.00334499011707465,0.0359801488833747,0.00342465753424658,0.0120783007080383,0.0049680624556423,0.0140845070422535,0.00924499229583975,0,0,0.00361881785283474,0,0,0,0,0.0294894366197183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cytophagaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00536552649228706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D05-2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00234668335419274,0,0,0,0,0,0,0,0,0,0,0,0,0.002870028700287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Defluviitaleaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00228310502283105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
