"","MG_A0","MG_A1","MG_A2","MG_A3","MG_B0","MG_B1","MG_B2","MG_B3","MG_C0","MG_C1","MG_C2","MG_C3","MG_Ct_qPCR_pos_zymo","MG_E0","MG_E1","MG_E2","MG_E3","MG_F0","MG_F1","MG_F2","MG_F3","MG_G0","MG_G1","MG_G2","MG_G3","MG_I0","MG_I1","MG_I2","MG_I3","MG_J0","MG_J1","MG_J2","MG_J3","MG_K0","MG_K1","MG_K2","MG_K3","MG_L0","MG_L1","MG_L2","MG_L3","MG_M0","MG_M1","MG_M2","MG_M3","MG_N0","MG_N1","MG_N2","MG_N3","MG_O0","MG_O1","MG_O2","MG_O3","MG_P0","MG_P1","MG_P2","MG_P3","MG_Q0","MG_Q1","MG_Q2","MG_Q3","MG_R0","MG_R1","MG_R2","MG_R3","MG_S0","MG_S1","MG_S2","MG_S3","MG_T0","MG_T1","MG_T2","MG_T3"
"67-14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,125,0,0,0,0,0,0,0,49,23,75,15,20,29,0,0,35,33,0,0,0,4,0,0,11,0,0,0,0,0,0,0,23,31,98,14,0,0,0,0,35,0,15,0,0,0,0,0,0,0,0,0,0,0,32
"A0839",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A4b",0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0
"AB1",0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Abditibacteriaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,31,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,53,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acetobacteraceae",0,24,111,0,0,0,88,0,0,0,0,36,0,0,0,34,0,0,0,88,0,0,0,24,0,0,36,0,0,0,0,53,0,0,0,251,24,0,80,39,0,0,6,0,0,0,60,27,0,0,0,0,0,0,62,0,0,0,44,41,0,0,0,17,0,0,0,0,0,0,0,0,0
"Acidaminobacteraceae",0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acidobacteriaceae_Subgroup_1",0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,25,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,32,64,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acidothermaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,65,0,0,0,53,0,0,0,0,0,0,62,87,0,0,0,0,0,0,27,0,0,0,0,0,0,10,0,0,0,0,0,0,0,35,12,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0
"Actinomycetaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,49,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Actinospicaceae",0,0,0,0,0,0,0,0,62,29,13,59,0,61,24,0,109,20,0,5,57,3,0,2,0,18,19,67,74,0,0,56,47,0,0,32,22,51,0,47,28,0,5,17,11,44,0,30,0,11,8,30,90,21,0,0,0,34,0,81,16,0,0,0,0,0,0,0,0,19,0,0,23
"Aerococcaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aeromonadaceae",30,7,0,0,0,30,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AKIW781",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AKYG1722",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AKYH767",0,0,0,0,0,0,0,7,0,0,29,0,0,0,0,0,0,4,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,2,27,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alcaligenaceae",82,0,0,0,36,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214,24,0,0,0,0,0,0,32,0,2,0,0,0,0,0,11,0,0,0,30,0,0,0,9,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alicyclobacillaceae",0,0,36,0,0,0,0,26,3,0,0,34,0,0,0,36,13,24,0,74,0,0,0,0,0,14,0,26,15,0,0,24,0,0,0,89,33,7,0,19,0,0,0,0,44,26,13,0,44,0,0,20,16,0,0,114,53,39,0,63,0,0,0,21,0,0,0,0,20,0,8,65,31
"Alteromonadaceae",0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,27,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Amoebophilaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anaerolineaceae",0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,27,53,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0
"Anaeromyxobacteraceae",0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aneurinibacillaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
"Atopobiaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Azospirillaceae",7,0,35,0,0,0,0,0,0,0,0,0,0,41,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0
"Babeliaceae",0,0,0,0,0,0,0,0,0,0,0,41,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,8,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacillaceae",0,0,265,132,0,0,259,124,32,0,298,397,1862,92,62,68,204,0,0,0,0,0,0,293,0,187,0,141,80,115,0,35,114,0,0,471,202,79,0,147,37,126,47,152,140,0,25,0,385,0,110,161,0,0,0,214,129,0,0,215,0,0,25,104,90,0,30,19,50,0,28,134,0
"Bacteriovoracaceae",0,0,0,9,0,0,30,0,0,0,35,0,0,0,42,0,34,0,0,0,0,0,0,0,0,0,0,42,0,0,24,0,0,0,49,0,13,0,0,0,0,0,0,0,0,0,48,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteroidaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"Bacteroidetes_vadinHA17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bdellovibrionaceae",0,0,45,0,0,0,0,25,0,0,0,14,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"Beggiatoaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Beijerinckiaceae",49,0,105,175,92,25,58,204,87,0,80,51,0,77,84,45,108,111,0,0,98,95,58,3,0,144,0,112,41,63,0,0,74,122,31,360,60,112,62,58,30,184,0,128,54,33,51,22,0,77,24,28,84,98,68,7,0,0,78,35,322,0,0,0,0,0,0,29,407,21,9,14,19
"Beutenbergiaceae",0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,37,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,23,0,0,0,0,38,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bifidobacteriaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,39,0,0,0,0,0,27,0,0
"BIrii41",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Blastocatellaceae",0,0,0,0,0,0,0,0,0,27,0,32,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,11
"Blattabacteriaceae",0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,8,1084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bogoriellaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brevibacillaceae",0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brevibacteriaceae",14,0,0,0,13,0,0,0,31,0,0,28,0,0,0,0,0,99,0,0,174,0,0,0,0,481,62,0,55,500,0,63,0,0,0,0,0,41,52,0,0,0,0,0,0,40,0,0,0,8,3,15,0,0,0,0,0,51,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0
"Bryobacteraceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,8,0,28,0,0,0,0,0,0,0,17,31,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,6
"Burkholderiaceae",0,34,48,0,36,41,16,1,0,116,0,22,0,201,51,8,83,106,0,54,66,16,24,0,0,50,83,0,28,0,24,35,6,47,119,0,22,72,0,14,13,43,12,0,64,88,98,0,0,41,18,0,61,21,42,21,0,0,0,0,0,0,0,0,42,1963,50,5,79,8,15,0,33
"Caldilineaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
"Caloramatoraceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Carnobacteriaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Caulobacteraceae",155,0,0,0,0,118,0,0,0,76,0,0,0,173,0,51,0,0,0,34,0,0,58,0,51,88,0,60,0,0,22,27,0,0,20,52,39,0,0,0,17,206,0,22,0,0,0,0,32,0,19,0,0,0,27,0,0,0,48,24,32,0,0,0,0,0,0,22,0,0,0,62,0
"Cellulomonadaceae",16,42,0,0,0,0,0,0,0,59,0,21,0,29,65,0,110,0,33,0,0,0,0,0,0,0,33,33,27,0,0,42,0,0,50,0,0,15,0,0,0,0,0,8,18,12,0,0,0,0,142,0,20,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,21
"Cellvibrionaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chitinimonadaceae",29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chitinivibrionaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0
"Chitinophagaceae",313,46,0,53,24,100,89,10,0,159,38,0,14,117,89,17,19,7,321,10,65,9,21,0,29,28,88,224,13,115,0,139,77,6,71,14,0,64,45,52,43,12,4,0,6,11,93,0,9,5,0,17,25,8,23,69,48,21,0,19,15,0,0,12,0,0,0,0,0,0,0,0,7
"Chlorobiaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chloroflexaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Christensenellaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
"Chromobacteriaceae",0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
