tax	50w_0	50w_1	50w_2	50w_3	90w_0	90w_1	90w_2	90w_3	120w_0	120w_1	120w_2	120w_3
f_unclassified_o__Gaiellales	0	0.001146789	0.002253075	0.000725929	0	0.002579275	0.000543124	0.00694974	0	0.001042517	0.001168434	0.001764926
f_unclassified_o__Gammaproteobacteria_Incertae_Sedis	0	0.001219092	0.000910747	0.000116932	0	0.002124109	0.002063871	0	0	0.000582281	0.001504774	0.000451213
f_unclassified_o__IMCC26256	0	0.00183091	0	0.00200724	0.001624188	0.004627522	0.00435492	0	0.000275139	0	0.001524855	0
f_unclassified_o__Kapabacteriales	0.000855698	0.012533923	0.011090431	0.005237948	0	0.00511952	0.012530599	0.00459292	0	0.01854379	0.007186032	0.00706028
f_unclassified_o__Oligoflexales	0	0.001478197	0.003338151	0.002688172	0	0.001422905	0	0	0	0.004325609	0	0.000902425
f_unclassified_o__Peptostreptococcales-Tissierellales	0	0	0	0.001152074	0.000874563	0	0.001219825	0	0	0	0.005086107	0.002112676
f_unclassified_o__Rhodospirillales	0	0.002803933	0.007606629	0	0	0	0.001976285	0	0.000287908	0	0	0
f_unclassified_o__Saccharimonadales	0.000733496	0.001847746	0.00054576	0.003461621	0.001653564	0.004210287	0.001810413	0.003396202	0.002488706	0.004286185	0.00555128	0.001257947
f_unclassified_o__Vicinamibacterales	0	0.000369549	0	7.80E-05	0	0.002503414	0	0	0	0.002008666	0.000457457	0
Flavobacteriaceae	0.02492561	0.02557377	0.006362775	0.015440698	0.024067637	0.011037673	0.016696583	0.005870522	0.002489349	0.016310955	0.002491634	0.014559999
Frankiaceae	0.000750375	0	0.005574769	0	0.000323894	0	0	0	0.000415867	0.001315213	0	0.002879971
Gaiellaceae	0	0.002751572	0	0.002138189	0	0.004127778	0	0.001889307	0	0	0.001378153	0
Gemmataceae	0.00175185	0.002358491	0	0.002124259	0	0.017334244	0	0	0.000125624	0	0.000406628	0
Gemmatimonadaceae	0.001530328	0.003746526	0.005458649	0.002057372	0	0.009684991	0.004243801	0.003750132	0.000127959	0.005936838	0.003693008	0.002476399
Geodermatophilaceae	0.001283547	0.000915455	0.00553735	0.015326902	0.001203035	0.007364664	0.00856037	0.004228428	0.000215355	0.001813386	0.013606577	0.003397202
Hungateiclostridiaceae	0.000261643	0	0.010384275	0.004033982	0.000338192	0.002048248	0.002342263	0.00045034	0.000161516	0.002252995	0.001423198	0.000586637
Hymenobacteraceae	0.000570858	0.001780943	0.002253075	0.000896476	0.001196795	0.0013947	0.00419033	0.013651877	0	0.000730674	0.000864085	0
Hyphomicrobiaceae	0.000291813	0.003409652	0	0.000496683	0.001087359	0.004172356	0.000506916	0	0.000735765	0.00161247	0	0.004983774
Ilumatobacteraceae	0	0.005190357	0	0.001500536	0	0.003253849	0.006393993	0.003379806	0	0.022440622	0.00656078	0.015818473
Intrasporangiaceae	0.001873115	0.004146473	0.00310559	0.0076725	0.001725291	0.004649	0.013077194	0	0.002937492	0.004851603	0.005635349	0.010826369
Isosphaeraceae	0.000541938	0	0.00619615	0.014616464	0	0	0	0	0.001750899	0.005286322	0.002439768	0.0092702
