"","MG_A0","MG_A1","MG_A2","MG_A3","MG_B0","MG_B1","MG_B2","MG_B3","MG_C0","MG_C1","MG_C2","MG_C3","MG_Ct_qPCR_pos_zymo","MG_E0","MG_E1","MG_E2","MG_E3","MG_F0","MG_F1","MG_F2","MG_F3","MG_G0","MG_G1","MG_G2","MG_G3","MG_I0","MG_I1","MG_I2","MG_I3","MG_J0","MG_J1","MG_J2","MG_J3","MG_K0","MG_K1","MG_K2","MG_K3","MG_L0","MG_L1","MG_L2","MG_L3","MG_M0","MG_M1","MG_M2","MG_M3","MG_N0","MG_N1","MG_N2","MG_N3","MG_O0","MG_O1","MG_O2","MG_O3","MG_P0","MG_P1","MG_P2","MG_P3","MG_Q0","MG_Q1","MG_Q2","MG_Q3","MG_R0","MG_R1","MG_R2","MG_R3","MG_S0","MG_S1","MG_S2","MG_S3","MG_T0","MG_T1","MG_T2","MG_T3"
"Acinetobacter",0.012346851552854,0.0310821181887951,0.0194711538461538,0.0145653163404643,0.00793847680476309,0.0160403299725023,0.00267942583732057,0.0010482180293501,0.00590762620837809,0.000726216412490922,0.00138927479855515,0,0,0,0.00816831683168317,0.01,0,0.00151929504709815,0,0.0203658957542285,0,0,0,0,0,0,0,0,0,0,0,0.00623417105006819,0,0,0,0.00964467005076142,0.00863486842105263,0,0.0330959363217428,0.014804469273743,0.0200534759358289,0.00973928678453701,0,0.00268312315535283,0,0,0,0,0.00588451636631114,0,0,0,0,0,0,0.0136693720632208,0,0.0110410094637224,0.0012853470437018,0,0,0,0,0,0,0,0.0717896865520728,0.0597014925373134,0,0,0,0,0.0297256097560976
"Actinoallomurus",0,0,0,0,0,0,0,0,0,0,0,0.00397614314115308,0,0,0,0,0.00277906438165818,0.000911577028258888,0,0.0189851570590266,0,0,0,0,0,0,0,0.0128470783257356,0,0.00149051490514905,0,0.00720826027664134,0,0,0,0,0,0.00166266395714022,0,0.0270949720670391,0,0,0,0,0,0.00288065843621399,0,0,0,0.0048828125,0,0.00744416873449132,0,0,0,0.0192225544639043,0,0,0,0,0,0,0,0,0,0,0,0,0.00794621026894866,0,0,0,0
"Actinocatenispora",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00179182277243851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00257483102671387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Actinomadura",0,0,0,0,0,0,0.00688995215311005,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0129798398232532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00769230769230769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Actinomyces",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0158678756476684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Actinomycetospora",0,0,0,0,0,0,0.00421052631578947,0.00256231073841137,0,0,0,0.00307247424543647,0,0.00451965524490225,0.0131188118811881,0.0167647058823529,0.0084915856106222,0,0,0,0,0,0,0,0,0,0,0.00911728139245752,0,0.0002710027100271,0,0,0.0149319279754062,0,0,0.011336717428088,0,0,0,0.023463687150838,0,0.00329637398861253,0,0,0,0.00754458161865569,0,0,0,0.0078125,0,0.0054590570719603,0.00504237742731467,0,0,0,0,0,0,0,0.012924071082391,0,0,0,0,0.0134339344865661,0,0,0.00733496332518337,0,0.00282286520818631,0,0.000952743902439024
"Actinoplanes",0.000949757811758002,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0099009900990099,0.0194117647058824,0,0,0,0,0,0,0,0,0,0.00284526154519589,0,0,0,0,0,0,0,0,0,0.00321489001692047,0,0,0,0,0,0.00359604435121366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0283867989845373,0,0,0,0,0,0,0,0,0.00974025974025974,0,0,0
"Actinospica",0,0,0,0,0,0,0,0,0.033297529538131,0.00702009198741225,0.0036121144762434,0.010663292969456,0,0.00641160395207063,0.00594059405940594,0,0.0168287787555967,0.00303859009419629,0,0.00172592336900242,0.0157415078707539,0.000268961807423346,0,0.000696621386276559,0,0.00393959290873276,0.00687409551374819,0.013883133029424,0.0220763723150358,0,0,0.0109097993376193,0.020641194554238,0,0,0.00541455160744501,0.00904605263157895,0.00942176242379457,0,0.0131284916201117,0.018716577540107,0,0.00601684717208183,0.00456130936409981,0.0043859649122807,0.00603566529492455,0,0.0225563909774436,0,0.002685546875,0.00237953599048186,0.00744416873449132,0.00965561635017702,0.00762250453720508,0,0,0,0.026813880126183,0,0.0392441860465116,0.00369259173782599,0,0,0,0,0,0,0,0,0.0154220779220779,0,0,0.00438262195121951
"Actinotalea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00484012907010854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0107079119571684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Adhaeribacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0072202166064982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
